Year,JulianDay,Hour,Minute,Second,Latitude,Longitude,Depth(km)
2014,119,7,44,57.4976,0.67823,-79.22600,47.6354
2014,119,8,7,44.5871,-1.03567,-78.30837,11.7314
2014,120,4,55,55.1945,-0.08001,-78.48338,11.0883
2014,121,3,17,48.2608,0.76565,-77.94500,-4.9780
2014,121,21,34,19.3840,-0.94430,-78.40725,11.8951
2014,122,8,34,23.6860,-1.09216,-77.93025,0.0181
2014,122,21,18,35.6254,-2.11105,-79.37050,92.4596
2014,123,7,43,2.2746,-3.44936,-79.69375,61.9491
2014,124,10,22,24.7970,-1.68756,-77.90725,26.8074
2014,128,8,12,23.2707,0.37315,-78.23125,3.9499
2014,128,17,24,28.5925,-1.99371,-78.25987,131.5877
2014,130,1,11,24.9298,-2.23466,-78.93462,103.4436
2014,130,23,22,52.0647,-2.01540,-80.30025,34.4621
2014,130,23,22,52.0382,-2.02786,-80.30813,33.2618
2014,131,1,4,58.9237,0.77270,-77.94700,-4.9780
2014,131,1,18,38.3548,0.80643,-77.94063,0.0216
2014,131,3,30,52.9743,0.79774,-77.93813,-4.8033
2014,131,4,16,22.1769,0.79699,-77.94025,-2.3783
2014,131,4,24,18.3095,-0.73696,-79.82388,71.7223
2014,131,8,48,10.2195,-1.25313,-78.37862,16.6032
2014,132,3,34,13.3430,0.75584,-79.98875,9.1096
2014,132,23,59,41.8053,0.79233,-77.93075,-1.7282
2014,133,0,14,18.2989,0.77459,-77.92650,-2.9530
2014,133,1,6,28.9115,-2.58065,-79.58163,19.9828
2014,133,1,20,56.0175,0.77345,-77.94713,-4.9780
2014,133,3,34,52.2238,0.25499,-79.90713,0.0254
2014,133,6,18,26.9454,0.23725,-79.19688,31.2755
2014,133,18,54,41.3898,-2.77968,-78.54413,1.2260
2014,134,0,27,55.1085,-1.20795,-78.37575,15.4914
2014,137,9,46,27.6607,-2.88508,-79.08887,66.9846
2014,138,4,8,31.4914,-0.37373,-78.57262,17.9374
2014,138,23,28,7.1654,-2.19728,-78.81475,102.3947
2014,139,2,4,15.6218,-0.92334,-79.25163,60.0203
2014,139,5,40,20.3271,0.79875,-77.93963,-2.0283
2014,139,6,51,48.6312,0.80227,-77.92575,-0.5658
2014,139,9,1,30.1414,-1.09167,-78.39313,10.8556
2014,140,21,52,23.0788,0.22655,-79.19412,28.0255
2014,142,19,39,49.5330,-1.96918,-78.35362,134.3008
2014,142,22,39,47.9513,-1.02017,-78.40838,-4.9809
2014,146,23,30,21.7046,0.21258,-79.20988,31.4755
2014,147,1,56,48.6494,0.78616,-77.93800,-3.2907
2014,147,6,29,38.7374,0.06824,-78.77138,14.7758
2014,147,7,48,44.6162,-0.93785,-79.17663,103.4201
2014,147,19,47,53.1153,0.99569,-79.09300,-4.7306
2014,148,3,51,11.0905,-0.20107,-78.48875,8.0006
2014,149,22,15,8.8875,-1.67346,-78.15813,160.8952
2014,153,6,37,37.3983,-1.54057,-78.00000,173.6230
2014,153,11,51,45.9257,-1.46668,-78.59463,15.1994
2014,153,22,43,0.2700,-2.54674,-78.85025,90.6340
2014,154,10,52,55.3113,0.72983,-79.20863,53.5849
2014,154,11,44,55.0175,-2.78029,-79.55650,-5.0241
2014,155,4,17,43.5958,-2.96954,-78.42387,72.0439
2014,156,5,50,4.4031,-0.91633,-79.16238,100.0204
2014,156,8,9,26.8051,-1.28097,-80.53875,36.0152
2014,156,16,59,33.1955,-1.88172,-78.91862,16.9030
2014,157,8,54,4.9371,-0.86691,-78.64900,12.5585
2014,157,18,23,45.8999,-2.54519,-79.83550,29.3840
2014,157,23,39,54.7546,-1.54279,-79.85925,76.3230
2014,158,9,2,18.1072,-0.81073,-79.53987,95.8716
2014,158,17,54,40.9467,-1.71738,-77.78938,21.7818
2014,159,2,11,26.7916,-0.91875,-78.60225,128.2579
2014,160,5,47,50.8218,-0.67238,-80.11112,49.0229
2014,160,11,27,32.9965,-0.20120,-77.82613,9.7756
2014,160,11,42,47.6124,-1.68809,-77.79862,177.7449
2014,160,22,8,12.8474,-2.09573,-80.29738,53.0225
2014,161,4,5,30.4380,0.68565,-78.90987,37.8228
2014,161,15,48,38.3714,-1.78810,-77.70262,22.3677
2014,161,22,1,22.9843,-0.90744,-79.60000,20.0205
2014,163,9,10,21.3365,-1.19777,-79.18500,119.7666
2014,163,9,54,23.5261,-1.54561,-79.20888,25.8604
2014,163,11,12,53.8731,-1.20891,-79.21375,78.7664
2014,163,19,23,39.1702,-1.25763,-79.05937,86.3656
2014,164,10,14,26.4223,-1.24633,-78.41525,13.9533
2014,164,18,57,20.6033,-2.63349,-79.68125,12.9811
2014,164,22,28,59.8438,-1.10210,-78.32500,5.2680
2014,165,1,32,22.0778,-1.11343,-78.40000,6.2053
2014,167,4,37,48.8938,-2.26126,-79.73575,69.6428
2014,167,5,0,50.3862,-0.00626,-77.74725,9.2008
2014,168,10,6,11.2971,-0.55420,-79.40975,35.1738
2014,168,19,30,7.0671,-2.51402,-79.24350,44.9850
2014,169,18,28,10.4655,-1.93598,-79.78050,87.7766
2014,171,15,7,26.7942,0.39707,-78.48138,16.3498
2014,171,18,52,58.1628,-1.90134,-78.41962,9.7525
2014,172,2,52,56.3169,-2.12944,-79.15650,97.8966
2014,173,18,36,23.6176,0.43570,-78.30875,2.7746
2014,175,13,43,54.2746,0.71886,-79.41688,28.8850
2014,175,13,59,0.6860,0.40876,-77.63287,-3.4753
2014,175,21,55,43.8583,0.70665,-79.40300,20.2726
2014,176,0,45,3.7328,-0.94682,-77.87737,14.3075
2014,176,5,33,25.8253,-1.18429,-79.37588,111.4668
2014,176,7,58,49.5793,-1.50431,-78.15650,16.8987
2014,177,12,2,40.9981,-1.94306,-80.16275,45.4015
2014,177,16,7,37.8630,-0.95752,-78.55588,11.9824
2014,178,6,1,18.5750,0.70639,-79.38062,15.2726
2014,180,15,49,36.7875,-1.06576,-77.79188,23.9685
2014,180,21,57,53.0314,-1.89636,-80.33600,39.8026
2014,182,9,12,38.5036,-1.04789,-77.80788,23.9187
2014,182,9,21,47.3292,-2.23190,-80.22400,54.8062
2014,182,11,44,27.4299,0.89557,-78.94800,54.8956
2014,183,16,10,34.2372,-0.74687,-79.78125,26.0222
2014,184,6,6,11.1237,0.03615,-80.00388,31.7758
2014,184,14,3,48.7525,0.30596,-78.23850,14.2627
2014,184,17,51,0.6412,0.29727,-78.23250,11.9878
2014,185,13,52,57.3513,0.42060,-77.98200,3.2122
2014,185,19,42,34.5606,0.07138,-78.91113,17.5383
2014,186,1,49,7.5980,0.45533,-78.16113,11.9120
2014,188,1,31,19.2021,-0.21265,-78.49325,10.8630
2014,189,1,12,52.0468,0.35428,-79.39375,14.5250
2014,189,5,29,59.2134,0.15658,-79.12825,14.7382
2014,189,7,28,53.9864,-0.93577,-77.51063,31.4577
2014,189,17,22,55.5419,-1.70691,-78.76212,9.2945
2014,193,13,21,21.7315,-1.83899,-80.78450,46.8415
2014,193,14,46,45.0311,-1.25300,-78.45250,15.5782
